G6PDH2r	glucose 6-phosphate dehydrogenase	b1852	1.1.1.49	30100	D-glucose-6-phosphate
PLIPA1G181pp	"Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
DHAD1	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"	b3771	4.2.1.9	75.8	"2,3-dihydroxyisovalerate"
LPLIPAL1A160pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)"	b0494	3.1.1.5	20000	NA
EDD	6-phosphogluconate dehydratase	b1851	4.2.1.12	20000	NA
PPGPPDP	"guanosine-3,5-bis(diphosphate) 3-diphosphatase"	b3650	3.1.7.2	3	ppGpp
PHETA1	phenylalanine transaminase	(b4054 or b0928 or b3770)	2.6.1.58	20000	NA
FRUK	fructose-1-phosphate kinase	b2168	2.7.1.56	20000	NA
3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	(b1095 or b2323)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	b1095	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
THFAT	Tetrahydrofolate aminomethyltransferase	b2551	2.1.2.10	20.9	NH4Cl
MALTATr	maltose O-acetyltransferase	b0459	2.3.1.79	20000	NA
EAR80x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
EAR80y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
PRPPS	phosphoribosylpyrophosphate synthetase	b1207	2.7.6.1	20000	NA
CTECOAI7	3-cis-2-trans-enoyl-CoA isomerase	b3846	5.3.3.8	540	3-trans-tetradecenoyl-CoA
EAR180x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
EAR180y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
PLIPA1G140pp	"Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
LPLIPAL1G161pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)"	b0494	3.1.1.5	20000	NA
DHFS	dihydrofolate synthase	b2315	6.3.2.12	20000	NA
ARGDC	arginine decarboxylase	b4117	4.1.1.19	9.9	L-arginine
CAT	catalase	(b1732 or b3942)	1.11.1.6	2830000	H2O2
ACACT5r	acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	(b2342 or b3845)	2.3.1.16	20000	NA
OGMEACPD	3-Oxo-glutaryl-[ACP] methyl ester dehydratase	b0180	4.2.1.59	20000	NA
LPLIPAL2A120	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)"	b3825	3.1.1.5	20000	NA
PGM	phosphoglycerate mutase	(b3612 or b4395 or b0755)	5.4.2.1	530	3-phospho-D-glycerate
PGK	phosphoglycerate kinase	b2926	2.7.2.3	2633	3-phospho-D-glyceroyl-phosphate
PGI	glucose-6-phosphate isomerase	b4025	5.3.1.9	3330	fructose-6-phosphate
PLIPA2E141pp	"Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
KAS14	beta-ketoacyl-ACP synthase	(b2323 or b1095)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
ASPTRS	Aspartyl-tRNA synthetase	b1866	6.1.1.12	79	tRNAAsp
TRPTRS	Tryptophanyl-tRNA synthetase	b3384	6.1.1.2	419	ATP
PLIPA1G161pp	"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
KDOPP	3-deoxy-manno-octulosonate-8-phosphatase	b3198	3.1.3.45	20000	NA
KDOPS	3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase	b1215	4.1.2.16	20000	NA
SADH	Succinylarginine dihydrolase	b1745	2.6.1.69	20000	NA
PLIPA1A180pp	"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
LPLIPAL1A140pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)"	b0494	3.1.1.5	20000	NA
OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	b0907	2.6.1.52	20000	NA
UAAGDS	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase"	b0085	6.3.2.13	20000	NA
GLCP2	glycogen phosphorylase	(b3417 or b3428)	2.4.1.1	312	maltoheptaose
PLIPA2E180pp	"Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
DUTPDP	dUTP diphosphatase	(b3640 or b2251)	3.6.1.23	65	dUDP
LPLIPAL1E161pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)"	b0494	3.1.1.5	20000	NA
CYSSADS	L-cysteine sulfinic acid desulfurase	b2810	4.1.1.12	442	L-Asp
PAPSR	phosphoadenylyl-sulfate reductase (thioredoxin)	((b2762 and b2582) or (b2762 and b3781))	1.8.4.8	3.5	3-phosphoadenylyl-sulfate
CBMKr	Carbamate kinase	(b0521 or b0323 or b2874)	2.7.2.2	20000	NA
ADK1	adenylate kinase	b0474	2.7.4.3	879.5	ATP
PLIPA1A161pp	"Phospholipase A1 (phosphatidate, n-C16:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
DHDPRy	dihydrodipicolinate reductase (NADPH)	b0031	1.3.1.26	19	"2,3-dihydrodipicolinate"
ACOAD2f	acyl-CoA dehydrogenase (hexanoyl-CoA)	b0221	1.3.99.3	35.7	Octanoyl-CoA
LYSTRS	Lysyl-tRNA synthetase	(b4129 or b2890)	6.1.1.6	221	L-Lysine-hydroxamate
DDGLK	2-dehydro-3-deoxygluconokinase	b3526	2.7.1.45	60.8	2-dehydro-3-deoxy-D-gluconate
PLIPA1E161pp	"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
ACOATA	Acetyl-CoA ACP transacylase	(b1094 and b1091)	2.3.1.38	4.2	acetyl-CoA
TPI	triose-phosphate isomerase	b3919	5.3.1.1	68330	D-Glyceraldehyde-3-phosphate
ACONTa	"aconitase (half-reaction A, Citrate hydro-lyase)"	(b0118 or b1276)	4.2.1.3	3.3	cis-aconitate
ACONTb	"aconitase (half-reaction B, Isocitrate hydro-lyase)"	(b0118 or b1276)	4.2.1.3	3.3	cis-aconitate
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	(b1095 or b2323)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
PRFGS	phosphoribosylformylglycinamidine synthase	b2557	6.3.5.3	2.49	NH4+
DAPDC	diaminopimelate decarboxylase	b2838	4.1.1.20	15.65	"meso-2,6-diaminoheptanedioate"
3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	(b2323 or b1095)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
3OAS141	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	b2323	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
PSSA161	Phosphatidylserine syntase (n-C16:1)	b2585	2.7.8.8	20000	NA
PSSA160	Phosphatidylserine syntase (n-C16:0)	b2585	2.7.8.8	20000	NA
PYK	pyruvate kinase	(b1854 or b1676)	2.7.1.40	3204	phosphoenolpyruvate
ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	((b3736 and b3737 and b3738 and b3731 and b3732 and b3733 and b3734 and b3735 and b3739) or (b3736 and b3737 and b3738 and b3731 and b3732 and b3733 and b3734 and b3735))	3.6.3.14	539	ATP
XAND	xanthine dehydrogenase	(b2866 and b2867 and b2868)	1.1.1.204	20000	NA
CYTK1	cytidylate kinase (CMP)	b0910	2.7.4.14	410	CMP
CYTK2	cytidylate kinase (dCMP)	b0910	2.7.4.14	410	CMP
NTP3	nucleoside-triphosphatase (GTP)	b4161	3.6.1.15	5096	dCTP
NTP1	nucleoside-triphosphatase (ATP)	(b0650 or b4161)	3.6.1.15	5096	dCTP
NTP5	nucleoside-triphosphatase (CTP)	b4161	3.6.1.15	5096	dCTP
LPLIPAL2A160	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)"	b3825	3.1.1.5	20000	NA
LPLIPAL2A161	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)"	b3825	3.1.1.5	20000	NA
PYAM5PO	pyridoxamine 5-phosphate oxidase	b1638	1.4.3.5	33	pyridoxal-5-phosphate
FUM	fumarase	(b1612 or b4122 or b1611)	4.2.1.2	1150	fumarate
PLIPA2E120pp	"Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
DAPE	diaminopimelate epimerase	b3809	5.1.1.7	128	"LL-2,6-Diaminoheptanedioate"
EAR120x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
EAR120y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	b1288	1.3.1.10	157.3	dodecenoyl-[Staphylococcus-aureus-acyl-carrier-protein]
DCTPD	dCTP deaminase	b2065	3.5.4.13	24.9	dCMP
UPP3MT	uroporphyrinogen methyltransferase	(b3803 or b3368)	2.1.1.107	38	uroporphyrinogen-III
FMNAT	FMN adenylyltransferase	b0025	2.7.7.2	0.087	FMN
DHBS	"2,3-dihydroxybenzoate adenylate synthase"	b0594	2.7.7.58	5.83	ATP
ENO	enolase	b2779	4.2.1.11	230	2-phosphoglycerate
ACPS1	acyl-carrier protein synthase	(b3475 or b2563)	2.7.8.7	2.8	CoA
PLIPA1A181pp	"Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
LPLIPAL1A141pp	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA
HACD3i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
LPLIPAL2E161	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)"	b3825	3.1.1.5	20000	NA
HACD5i	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
HACD4i	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
HACD7i	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
HACD6i	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(b3846 or b2341)	1.1.1.35	1817	NAD+
HACD8i	"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal"	(b3846 or b2341)	1.1.1.35	1817	NAD+
AMALT4	Amylomaltase (maltohexaose)	b3416	2.4.1.25	425	maltotetraose
AMALT3	Amylomaltase (maltopentaose)	b3416	2.4.1.25	425	maltotetraose
AMALT2	Amylomaltase (maltotetraose)	b3416	2.4.1.25	425	maltotetraose
AMALT1	Amylomaltase (maltotriose)	b3416	2.4.1.25	425	maltotetraose
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	(b0954 or b0180)	4.2.1.61	20000	NA
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	(b0954 or b0180)	4.2.1.61	20000	NA
G3PAT141	glycerol-3-phosphate acyltransferase (C14:1)	(b1094 and b4041)	2.3.1.15	20000	NA
ACOAD6f	acyl-CoA dehydrogenase (tetradecanoyl-CoA)	b0221	1.3.99.3	35.7	Octanoyl-CoA
ADSS	adenylosuccinate synthase	b4177	6.3.4.4	6.08	GTP
SHSL1	O-succinylhomoserine lyase (L-cysteine)	b3939	4.2.99.9	20000	NA
ASNN	L-asparaginase	(b1767 or b0828)	3.5.1.1	1600	L-Asn
PPA2	inorganic triphosphatase	(b2502 or b2744)	3.6.1.1	6290	diphosphate
G5SD	glutamate-5-semialdehyde dehydrogenase	b0243	1.2.1.41	20000	NA
VALTRS	Valyl-tRNA synthetase	b4258	6.1.1.9	57	ATP
PLIPA2A141pp	"Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
ALCD19	alcohol dehydrogenase (glycerol)	b0356	1.1.1.1	4808	NADPH
ALATA_L	L-alanine transaminase	(b2290 or b2379)	2.6.1.2	17.1	L-alanine
RBK_L1	L-ribulokinase (L-ribulose)	b0063	2.7.1.16	109	D-ribitol
LPLIPAL1G141pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)"	b0494	3.1.1.5	20000	NA
SERTRS	Seryl-tRNA synthetase	b0893	6.1.1.11	7	L-serine
OXCDC	Oxalyl-CoA decarboxylase	b2373	4.1.1.8	88	oxalyl-CoA
LPLIPAL2A180	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)"	b3825	3.1.1.5	20000	NA
LPLIPAL2A181	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)"	b3825	3.1.1.5	20000	NA
LYSDC	lysine decarboxylase	(b0186 or b4131)	4.1.1.18	636	L-Lys
TRPAS2	Tryptophanase (L-tryptophan)	b3708	4.1.99.1	42	L-Trp
3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	(b2323 or b1095)	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
GLYCK	glycerate kinase	b0514	2.7.1.31	350	D-Glycerate
G3PAT180	glycerol-3-phosphate acyltransferase (C18:0)	(b1094 and b4041)	2.3.1.15	20000	NA
G3PAT181	glycerol-3-phosphate acyltransferase (C18:1)	(b1094 and b4041)	2.3.1.15	20000	NA
LPLIPAL2G120	"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)"	b3825	3.1.1.5	20000	NA
TDPDRR	dTDP-4-dehydrorhamnose reductase	b2040	1.1.1.133	29	NADPH
TRDR	thioredoxin reductase (NADPH)	((b3781 and b0888) or (b0888 and b2582))	1.8.1.9	1600	selenocysteine
GMPS2	GMP synthase	b2507	6.3.5.2	0.43	L-glutamine
PLIPA1G120pp	"Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
GALM2pp	aldose-1-epimerase	b0756	5.1.3.3	16500	alpha-D-glucose
THRTRS	Threonyl-tRNA synthetase	b1719	6.1.1.3	90	ATP
SSALy	succinate-semialdehyde dehydrogenase (NADP)	(b2661 or b1525)	1.2.1.16	20000	NA
LPLIPAL1E181pp	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)"	b0494	3.1.1.5	20000	NA
PGAMT	phosphoglucosamine mutase	b3176	5.4.2.10	7.9	D-Glucosamine-6-phosphate
THRA2i	L-allo-Threonine Aldolase	(b2551 or b0870)	4.1.2.5	43	L-allo-Thr
SERD_L	L-serine deaminase	(b4471 or b1814 or b2797 or b3708)	4.3.1.17	544	L-Serine
OPMEACPD	3-Oxo-pimeloyl-[ACP] methyl ester dehydratase	b0180	4.2.1.59	20000	NA
PLIPA1E140pp	"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
PLIPA2G120pp	"Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
LPLIPAL1G180pp	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)"	b0494	3.1.1.5	20000	NA
OPMEACPS	3-Oxo-pimeloyl-[ACP] methyl ester synthase	b2323	2.3.1.41	551	decanoyl-[acyl-carrier-protein]
NADH17pp	NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm)	(b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288)	1.6.5.3	1500	hexaammineruthenium-III-chloride
APH180	acylphosphatase (C18:0)	b0968	3.6.1.7	10000	benzoyl-phosphate
APH181	acylphosphatase (C18:1)	b0968	3.6.1.7	10000	benzoyl-phosphate
NDPK8	nucleoside-diphosphate kinase (ATP:dADP)	(b0474 or b2518)	2.7.4.6	20000	NA
NDPK2	nucleoside-diphosphate kinase (ATP:UDP)	(b0474 or b2518)	2.7.4.6	20000	NA
NDPK3	nucleoside-diphosphate kinase (ATP:CDP)	(b2518 or b0474)	2.7.4.6	20000	NA
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)	(b0474 or b2518)	2.7.4.6	20000	NA
NDPK6	nucleoside-diphosphate kinase (ATP:dUDP)	(b2518 or b0474)	2.7.4.6	20000	NA
NDPK7	nucleoside-diphosphate kinase (ATP:dCDP)	(b0474 or b2518)	2.7.4.6	20000	NA
NDPK4	nucleoside-diphosphate kinase (ATP:dTDP)	(b0474 or b2518)	2.7.4.6	20000	NA
NDPK5	nucleoside-diphosphate kinase (ATP:dGDP)	(b0474 or b2518)	2.7.4.6	20000	NA
PLIPA2G180pp	"Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)"	b3821	3.1.1.4	43.3	"1,2-diheptanoyl-sn-glycero-3-phosphorylcholine"
MCOATA	Malonyl-CoA-ACP transacylase	(b1094 and b1092)	2.3.1.39	1580	malonyl-CoA
PLIPA1A120pp	"Phospholipase A1 (phosphatidate, n-C12:0) (periplasm)"	b3821	3.1.1.32	1.1	high-density-lipoprotein
APH160	acylphosphatase (C16:0)	b0968	3.6.1.7	10000	benzoyl-phosphate
APH161	acylphosphatase (C16:1)	b0968	3.6.1.7	10000	benzoyl-phosphate
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	b3608	1.1.1.94	20000	NA
ACACT1r	acetyl-CoA C-acetyltransferase	(b2224 or b2342 or b3845)	2.3.1.9	900	thiolytic-cleavage
DTMPK	dTMP kinase	b1098	2.7.4.9	8.9	ATP
G3PD7	glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)	(b2241 and b2242 and b2243)	1.1.99.5	20000	NA
G3PD6	glycerol-3-phosphate dehydrogenase (menaquinone-8)	(b2241 and b2242 and b2243)	1.1.99.5	20000	NA
LPLIPAL2E120	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)"	b3825	3.1.1.5	20000	NA
EAR140x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	b1288	1.3.1.9	70	trans-but-2-enoyl-[acyl-carrier-protein]
